rank,gid,role,priority_score,why,cluster_id
1,100000003684369100,coordinator,1.0,"Хаб: собирает и раздаёт: 24 плательщиков → 62 получателей, через узел 8,6 млн ₸; 4 seed в 2 шагах выше; посредничество выше 99% узлов. Оборот через узел 12,4 млн ₸; 100% суммы уходит за 2 дня",2
2,100000000331309100,coordinator,0.9907,"Хаб: собирает и раздаёт: 5 плательщиков → 99 получателей, через узел 23,0 млн ₸; 3 seed в 2 шагах выше; посредничество выше 99% узлов. Оборот через узел 24,0 млн ₸",4
3,100000004156082100,coordinator,0.9856,"Хаб: собирает и раздаёт: 5 плательщиков → 26 получателей, через узел 2,3 млн ₸; 3 seed в 2 шагах выше; посредничество выше 99% узлов. Оборот через узел 2,7 млн ₸; 96% суммы уходит за 2 дня",15
4,100000008165763100,coordinator,0.9835,"Хаб: собирает и раздаёт: 15 плательщиков → 17 получателей, через узел 1,3 млн ₸; 3 seed в 2 шагах выше; посредничество выше 97% узлов. Оборот через узел 2,4 млн ₸; 68% суммы уходит за 2 дня",2
5,100000000343175100,coordinator,0.9824,"Хаб: собирает и раздаёт: 8 плательщиков → 31 получателей, через узел 4,0 млн ₸; 3 seed в 2 шагах выше; посредничество выше 98% узлов. Оборот через узел 4,2 млн ₸; 100% суммы уходит за 2 дня",9
6,100000008477350100,coordinator,0.9819,"Хаб: собирает и раздаёт: 11 плательщиков → 39 получателей, через узел 3,4 млн ₸; 2 seed в 2 шагах выше; посредничество выше 99% узлов. Оборот через узел 4,0 млн ₸; 57% суммы уходит за 2 дня",0
7,100000008346837100,coordinator,0.9552,"Хаб: собирает и раздаёт: 9 плательщиков → 25 получателей, через узел 1,3 млн ₸; 2 seed в 2 шагах выше; посредничество выше 99% узлов. Оборот через узел 1,5 млн ₸; 85% суммы уходит за 2 дня",13
8,100000003115284100,consolidator,0.9474,"Сбор средств: 2,2 млн ₸ от 8 плательщиков (из них seed: 2), дальше ушло 24% полученного; до 7 плательщиков в один день. Оборот через узел 2,7 млн ₸; 4 seed в 2 шагах выше; 99% суммы уходит за 2 дня",9
9,100000004403675100,coordinator,0.9421,"Мост между ветками: 4 плательщиков → 5 получателей, через узел 265 тыс ₸; 2 seed в 2 шагах выше; посредничество выше 99% узлов. Оборот через узел 448 тыс ₸; 54% суммы уходит за 2 дня",20
10,100000003016635100,coordinator,0.9388,"Хаб: собирает и раздаёт: 8 плательщиков → 73 получателей, через узел 9,4 млн ₸; 1 seed в 2 шагах выше; посредничество выше 99% узлов. Оборот через узел 10,0 млн ₸; 94% суммы уходит за 2 дня",5
11,100000008603629100,coordinator,0.9385,"Хаб: собирает и раздаёт: 19 плательщиков → 61 получателей, через узел 5,0 млн ₸; 1 seed в 2 шагах выше; посредничество выше 99% узлов. Оборот через узел 6,8 млн ₸; 99% суммы уходит за 2 дня",3
12,100000008637537100,consolidator,0.9382,"Сбор средств: 620 тыс ₸ от 3 плательщиков (из них seed: 2); до 2 плательщиков в один день. Оборот через узел 3,0 млн ₸; 4 seed в 2 шагах выше; 100% суммы уходит за 2 дня",10
13,100000004400305100,coordinator,0.9374,"Хаб: собирает и раздаёт: 7 плательщиков → 82 получателей, через узел 5,8 млн ₸; 2 seed в 2 шагах выше; посредничество выше 99% узлов. Оборот через узел 6,1 млн ₸; 79% суммы уходит за 2 дня",0
